cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,1998,49,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,1999,27,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2000,95,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2001,57,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2002,59,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2003,43,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2004,60,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2005,48,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2006,31,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2007,29,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2008,36,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2009,46,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2010,53,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2011,39,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2012,63,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2013,85,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2014,72,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2015,30,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2016,46,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2017,41,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2018,39,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2019,25,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2020,26,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2021,21,Víctimas
06,Colima,001,Armería,6200009439,Víctimas heridas en los accidentes de tránsito,2022,45,Víctimas
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1997,784,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1998,1859,Accidentes
06,Colima,002,Colima,1006000039,Accidentes de tránsito terrestre en zonas urbanas y suburbanas,1999,1864,Accidentes
